Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP00001,Male,Yes,0,Graduate,No,3435,0,186,360,1.0,Urban,Y
LP00002,Female,Yes,0,Not Graduate,No,1171,2515,117,360,1.0,Rural,Y
LP00003,Male,No,3+,Graduate,No,3837,4993,267,360,1.0,Rural,Y
LP00004,Male,No,0,Graduate,No,8502,2135,334,360,1.0,Urban,N
LP00005,Male,No,0,Graduate,No,6785,0,265,360,1.0,Urban,Y
LP00006,Male,No,2,Not Graduate,No,6354,0,250,360,1.0,Urban,Y
LP00007,Male,No,0,Not Graduate,No,4154,3661,264,360,1.0,Rural,Y
LP00008,Female,No,2,Graduate,No,2281,0,125,360,1.0,Semiurban,Y
LP00009,Male,Yes,0,Graduate,No,6695,1572,340,360,1.0,Rural,Y
LP00010,Male,Yes,0,Graduate,Yes,2979,2615,171,360,1.0,Semiurban,N
LP00011,Male,Yes,0,Graduate,Yes,18223,3092,624,360,1.0,Urban,Y
LP00012,Female,No,0,Graduate,No,6920,1218,274,360,1.0,Rural,N
LP00013,Female,No,3+,Graduate,No,3468,0,122,240,1.0,Semiurban,Y
LP00014,Male,Yes,0,Graduate,No,3405,874,139,360,1.0,Urban,Y
LP00015,Male,No,0,Graduate,No,4648,707,183,360,1.0,Semiurban,Y
LP00016,Male,No,0,Graduate,No,4256,3154,222,240,1.0,Urban,Y
LP00017,Male,Yes,0,Graduate,No,9605,1865,356,360,1.0,Semiurban,Y
LP00018,,Yes,2,Graduate,No,5496,2811,281,360,0.0,Semiurban,Y
LP00019,Male,No,0,Graduate,No,3168,0,134,360,1.0,Semiurban,Y
LP00020,Male,Yes,1,Not Graduate,No,15279,0,504,360,0.0,Rural,Y
LP00021,Male,No,3+,Graduate,No,5062,2364,267,360,0.0,Rural,N
LP00022,Male,Yes,1,Graduate,No,7795,0,268,360,1.0,Semiurban,Y
LP00023,Male,No,3+,Graduate,No,3412,6461,276,360,1.0,Rural,Y
LP00024,Male,No,0,Graduate,No,6111,944,259,360,1.0,Semiurban,Y
LP00025,Male,No,0,Graduate,No,5923,0,188,84,1.0,Semiurban,Y
LP00026,Female,Yes,0,Graduate,No,1581,0,49,360,1.0,Semiurban,Y
LP00027,Male,No,1,Not Graduate,No,16467,3638,623,360,1.0,Rural,Y
LP00028,,No,3+,Graduate,No,10661,0,379,180,1.0,Rural,Y
LP00029,Male,Yes,0,Graduate,No,3872,1697,241,360,1.0,Semiurban,Y
LP00030,Male,No,1,Graduate,No,2536,4434,217,360,0.0,Semiurban,Y
LP00031,Male,Yes,0,Graduate,No,6054,2491,297,120,1.0,Semiurban,Y
LP00032,Male,Yes,1,Graduate,,5177,3503,271,360,1.0,Urban,Y
LP00033,Male,Yes,0,Graduate,Yes,6083,0,238,360,0.0,Urban,N
LP00034,Female,Yes,3+,Graduate,No,5513,912,266,360,1.0,Semiurban,N
LP00035,Female,,1,Graduate,No,6659,0,207,360,1.0,Rural,Y
LP00036,Female,No,0,Graduate,No,11712,0,409,360,1.0,Semiurban,Y
LP00037,Male,Yes,0,Graduate,No,6910,3783,375,360,1.0,Rural,Y
LP00038,Male,,0,Not Graduate,No,2618,2307,180,360,1.0,Urban,Y
LP00039,Male,Yes,0,Graduate,No,11131,0,416,360,0.0,Urban,Y
LP00040,Male,Yes,0,Graduate,No,13152,783,447,360,1.0,Rural,Y
LP00041,Male,Yes,2,Graduate,No,32572,9153,700,360,1.0,Rural,Y
LP00042,Male,No,1,Not Graduate,No,2504,0,125,360,1.0,Semiurban,Y
LP00043,Male,Yes,0,Graduate,No,5685,0,176,360,1.0,Semiurban,Y
LP00044,Female,Yes,0,Graduate,No,1409,1359,96,360,0.0,Rural,Y
LP00045,Male,No,2,Graduate,No,6849,3027,294,360,0.0,Semiurban,N
LP00046,Male,Yes,1,Graduate,No,3537,980,192,360,1.0,Semiurban,Y
LP00047,Male,Yes,0,Graduate,No,15585,3349,601,360,1.0,Urban,Y
LP00048,Male,Yes,1,Graduate,No,3087,0,149,180,1.0,Rural,Y
LP00049,Male,No,0,Graduate,No,1783,2490,169,360,,Rural,Y
LP00050,Male,Yes,0,Graduate,No,3704,3978,237,480,1.0,Rural,Y
LP00051,Female,No,0,Graduate,No,1502,1029,139,360,1.0,Urban,Y
LP00052,Female,Yes,0,Graduate,No,7712,0,281,360,0.0,Semiurban,N
LP00053,Female,No,0,Graduate,No,1423,0,93,180,1.0,Urban,N
LP00054,Female,No,3+,Graduate,No,4999,0,194,360,0.0,Rural,N
LP00055,Male,No,2,Graduate,No,1412,2215,150,360,1.0,Semiurban,Y
LP00056,Female,Yes,1,Not Graduate,Yes,4055,3691,237,180,1.0,Semiurban,Y
LP00057,Male,No,0,Graduate,No,13174,2264,510,180,0.0,Semiurban,N
LP00058,Male,Yes,0,Graduate,Yes,6102,0,210,480,,Urban,Y
LP00059,Male,Yes,1,Graduate,No,2927,0,115,360,0.0,Rural,N
LP00060,Male,Yes,0,Not Graduate,No,4823,2607,260,360,1.0,Urban,Y
LP00061,Male,No,0,Graduate,No,4968,782,212,360,1.0,Rural,Y
LP00062,Male,No,0,Graduate,No,6526,422,245,360,0.0,Semiurban,Y
LP00063,Female,No,2,Graduate,No,2164,0,132,180,1.0,Rural,N
LP00064,Male,Yes,0,Graduate,No,7013,2690,302,360,0.0,Rural,N
LP00065,Male,Yes,0,Graduate,No,970,0,75,360,0.0,Semiurban,Y
LP00066,Male,No,2,Graduate,Yes,3367,0,178,360,1.0,Rural,Y
LP00067,Male,Yes,0,Graduate,Yes,3666,21350,617,360,1.0,Semiurban,Y
LP00068,Female,Yes,0,Not Graduate,,7186,0,297,84,1.0,Rural,Y
LP00069,Male,Yes,0,Graduate,No,4981,0,193,360,1.0,Rural,Y
LP00070,Female,Yes,0,Graduate,No,2114,1549,169,360,1.0,Rural,Y
LP00071,Female,Yes,2,Graduate,No,2721,3000,172,180,1.0,Urban,Y
LP00072,Male,Yes,0,Graduate,No,5536,2065,239,360,1.0,Semiurban,Y
LP00073,Male,Yes,0,Graduate,No,4687,1831,180,360,1.0,Urban,Y
LP00074,Female,Yes,2,Graduate,No,3472,0,187,360,1.0,Semiurban,Y
LP00075,Male,No,2,Graduate,No,3683,0,143,360,1.0,Rural,Y
LP00076,Male,Yes,2,Not Graduate,No,7462,2685,325,360,1.0,Rural,Y
LP00077,Female,Yes,0,Not Graduate,No,3602,486,149,180,0.0,Rural,N
LP00078,Male,No,0,Graduate,No,4661,1895,241,360,1.0,Semiurban,N
LP00079,Male,Yes,3+,Graduate,No,18069,0,584,240,1.0,Rural,Y
LP00080,Male,No,2,Not Graduate,No,2091,2076,128,180,1.0,Rural,Y
LP00081,Female,No,0,Graduate,No,1617,0,107,360,1.0,Rural,Y
LP00082,Male,Yes,0,Not Graduate,No,7864,6696,391,360,0.0,Semiurban,N
LP00083,Male,Yes,0,Graduate,No,3270,2844,188,360,1.0,Semiurban,Y
LP00084,Male,No,3+,Graduate,No,4060,1353,156,360,1.0,Semiurban,Y
LP00085,Male,No,0,Graduate,No,3075,443,122,240,1.0,Urban,Y
LP00086,Male,Yes,0,Graduate,Yes,4205,3939,258,360,1.0,Urban,Y
LP00087,Male,Yes,0,Graduate,Yes,12824,1379,423,360,1.0,Rural,Y
LP00088,Male,Yes,1,Graduate,No,7952,2760,314,360,1.0,Urban,Y
